Age_Group,Gender,Work_Experience,Working_Hours_Per_Day,Meetings_Per_Week,Late_Night_Work_Frequency,AI_Job_Displacement_Fear,Supervisor_Support,Salary_Satisfaction,Work_Life_Balance,Stress_Level,Sleep_Quality,Job_Satisfaction,Burnout_Symptoms,Depression_Risk,Employee_ID,Employee_Name,Department,Date,Month
26-35,Female,1,5,3,3,1,5,3,3,3,3,4,3,1,EMP0040,Employee_40,Support,2025-02-09,Feb
26-35,Male,5,3,5,3,5,1,2,2,4,2,1,4,2,EMP0041,Employee_41,Support,2025-02-10,Feb
18-25,Female,5,5,3,1,5,2,3,2,4,5,2,3,2,EMP0042,Employee_42,Operations,2025-02-11,Feb
18-25,Male,5,3,2,3,5,4,3,3,3,3,3,3,1,EMP0043,Employee_43,Marketing,2025-02-12,Feb
26-35,Male,5,3,4,4,3,2,5,3,2,3,4,3,1,EMP0044,Employee_44,Operations,2025-02-13,Feb
36-45,Female,4,5,5,4,2,4,4,3,4,3,4,4,1,EMP0045,Employee_45,Operations,2025-02-14,Feb
18-25,Female,3,4,1,2,5,4,3,3,3,4,3,4,2,EMP0046,Employee_46,Sales,2025-02-15,Feb
26-35,Male,1,2,5,2,4,1,1,2,2,5,1,2,1,EMP0047,Employee_47,Operations,2025-02-16,Feb
46+,Male,3,2,3,4,3,3,1,3,4,2,2,4,2,EMP0048,Employee_48,Sales,2025-02-17,Feb
26-35,Male,2,3,1,1,5,3,5,4,3,4,4,2,1,EMP0049,Employee_49,Marketing,2025-02-18,Feb
26-35,Male,3,1,1,5,4,3,4,4,1,3,4,2,1,EMP0050,Employee_50,Operations,2025-02-19,Feb
18-25,Female,1,3,2,3,5,2,3,3,5,2,2,4,2,EMP0051,Employee_51,Sales,2025-02-20,Feb
36-45,Female,5,5,1,1,1,3,3,2,2,5,3,2,1,EMP0052,Employee_52,Sales,2025-02-21,Feb
26-35,Female,2,4,5,1,1,5,3,3,3,5,4,2,1,EMP0053,Employee_53,Operations,2025-02-22,Feb
26-35,Male,2,4,5,5,2,1,4,2,4,2,2,4,1,EMP0054,Employee_54,Support,2025-02-23,Feb
18-25,Male,1,3,5,4,1,4,1,3,4,2,2,3,1,EMP0055,Employee_55,Marketing,2025-02-24,Feb
18-25,Male,4,2,1,1,5,4,1,3,1,5,3,2,1,EMP0056,Employee_56,Marketing,2025-02-25,Feb
26-35,Female,3,5,5,2,5,5,4,3,3,5,4,3,1,EMP0057,Employee_57,Finance,2025-02-26,Feb
26-35,Male,2,4,4,2,4,5,5,4,3,4,5,3,1,EMP0058,Employee_58,Finance,2025-02-27,Feb
36-45,Female,3,1,1,4,2,4,3,4,3,2,4,3,1,EMP0059,Employee_59,HR,2025-02-28,Feb
26-35,Female,5,4,5,3,5,2,4,3,4,4,3,3,1,EMP0060,Employee_60,Sales,2025-03-01,Mar
26-35,Male,2,2,1,3,4,3,2,3,1,3,3,2,1,EMP0061,Employee_61,Marketing,2025-03-02,Mar
26-35,Female,4,2,3,3,5,1,1,2,3,2,1,3,2,EMP0062,Employee_62,Finance,2025-03-03,Mar
26-35,Male,5,5,3,1,2,3,4,3,4,5,3,3,1,EMP0063,Employee_63,Support,2025-03-04,Mar
26-35,Male,1,5,1,4,2,5,3,3,3,2,4,3,2,EMP0064,Employee_64,Finance,2025-03-05,Mar
36-45,Male,4,4,2,2,4,3,1,2,4,4,2,3,1,EMP0065,Employee_65,Support,2025-03-06,Mar
18-25,Female,5,2,1,2,3,3,5,4,2,5,4,2,0,EMP0066,Employee_66,Support,2025-03-07,Mar
36-45,Female,5,5,1,1,1,3,4,3,2,5,4,2,1,EMP0067,Employee_67,Finance,2025-03-08,Mar
18-25,Female,5,4,2,3,5,4,2,3,4,3,3,3,1,EMP0068,Employee_68,Sales,2025-03-09,Mar
18-25,Male,5,1,3,4,3,1,3,3,2,3,2,2,1,EMP0069,Employee_69,Operations,2025-03-10,Mar
26-35,Male,2,3,5,2,3,1,2,2,3,3,1,3,2,EMP0070,Employee_70,Support,2025-03-11,Mar
18-25,Female,2,2,5,5,4,3,2,3,4,2,2,3,1,EMP0071,Employee_71,Support,2025-03-12,Mar
36-45,Male,3,1,2,4,5,3,2,3,3,3,3,3,1,EMP0072,Employee_72,Marketing,2025-03-13,Mar
26-35,Female,5,1,3,4,1,1,2,3,3,2,2,3,2,EMP0073,Employee_73,HR,2025-03-14,Mar
26-35,Male,2,2,4,3,2,2,4,3,3,3,3,3,2,EMP0074,Employee_74,Finance,2025-03-15,Mar
18-25,Female,5,5,1,4,3,3,5,3,5,3,3,5,2,EMP0075,Employee_75,Sales,2025-03-16,Mar
26-35,Male,5,3,3,2,2,3,3,3,2,5,3,3,1,EMP0076,Employee_76,Sales,2025-03-17,Mar
26-35,Female,1,5,5,1,5,2,3,2,4,4,2,3,1,EMP0077,Employee_77,Support,2025-03-18,Mar
18-25,Female,3,2,3,4,5,3,3,3,3,2,3,4,2,EMP0078,Employee_78,Marketing,2025-03-19,Mar
18-25,Prefer not to say,5,4,4,4,3,1,1,1,5,1,1,4,2,EMP0079,Employee_79,Finance,2025-03-20,Mar
26-35,Male,3,5,4,3,1,4,2,2,4,3,2,5,2,EMP0080,Employee_80,HR,2025-03-21,Mar
18-25,Male,3,4,3,2,3,2,4,3,4,4,3,4,1,EMP0081,Employee_81,IT,2025-03-22,Mar
26-35,Male,3,4,4,5,1,4,4,3,4,2,4,4,1,EMP0082,Employee_82,HR,2025-03-23,Mar
26-35,Male,3,5,2,1,4,5,4,3,3,5,4,3,1,EMP0083,Employee_83,Support,2025-03-24,Mar
26-35,Female,2,4,5,1,2,1,3,2,4,5,2,3,1,EMP0084,Employee_84,Operations,2025-03-25,Mar
36-45,Female,3,4,2,1,3,4,5,4,2,5,5,2,0,EMP0085,Employee_85,Sales,2025-03-26,Mar
36-45,Female,1,3,2,4,5,2,5,3,3,2,3,3,1,EMP0086,Employee_86,Support,2025-03-27,Mar
26-35,Male,2,2,4,1,3,2,1,2,4,4,1,4,2,EMP0087,Employee_87,Marketing,2025-03-28,Mar
18-25,Male,5,4,4,5,2,3,4,3,3,2,3,4,2,EMP0088,Employee_88,IT,2025-03-29,Mar
18-25,Male,3,1,5,3,5,4,1,3,2,3,3,2,1,EMP0089,Employee_89,Sales,2025-03-30,Mar
26-35,Male,1,5,5,1,5,2,1,1,4,5,1,3,2,EMP0090,Employee_90,Sales,2025-03-31,Mar
26-35,Female,1,3,1,1,4,2,4,3,3,5,3,2,1,EMP0091,Employee_91,Operations,2025-04-01,Apr
46+,Female,1,2,3,2,1,4,1,3,3,3,3,2,1,EMP0092,Employee_92,Operations,2025-04-02,Apr
26-35,Male,5,3,3,4,2,3,3,3,3,4,3,3,2,EMP0093,Employee_93,HR,2025-04-03,Apr
36-45,Male,3,1,5,4,4,1,3,3,3,1,2,3,2,EMP0094,Employee_94,Sales,2025-04-04,Apr
26-35,Male,5,1,4,1,4,5,3,4,1,4,5,2,1,EMP0095,Employee_95,Marketing,2025-04-05,Apr
26-35,Male,3,4,1,5,3,5,1,3,3,2,3,4,1,EMP0096,Employee_96,Marketing,2025-04-06,Apr
18-25,Female,4,2,2,2,2,3,3,3,2,5,3,1,0,EMP0097,Employee_97,HR,2025-04-07,Apr
26-35,Male,4,5,4,5,3,4,5,3,4,1,4,5,2,EMP0098,Employee_98,Marketing,2025-04-08,Apr
18-25,Female,5,2,1,4,4,4,2,3,3,2,3,4,1,EMP0099,Employee_99,Finance,2025-04-09,Apr
18-25,Female,5,4,1,1,2,2,5,3,2,5,4,2,0,EMP0100,Employee_100,Marketing,2025-04-10,Apr
26-35,Female,3,2,1,1,4,2,4,3,1,5,3,2,1,EMP0101,Employee_101,Support,2025-04-11,Apr
26-35,Male,2,2,3,5,2,1,3,3,4,1,2,4,2,EMP0102,Employee_102,HR,2025-04-12,Apr
18-25,Female,3,4,4,2,3,4,2,3,3,5,3,3,1,EMP0103,Employee_103,IT,2025-04-13,Apr
18-25,Male,5,3,4,1,4,5,2,3,3,5,3,3,1,EMP0104,Employee_104,Finance,2025-04-14,Apr
18-25,Female,3,2,5,5,1,1,2,2,2,3,2,3,2,EMP0105,Employee_105,Sales,2025-04-15,Apr
26-35,Male,3,3,2,4,2,2,5,3,2,3,4,3,1,EMP0106,Employee_106,Finance,2025-04-16,Apr
36-45,Male,4,5,3,2,2,5,2,3,3,3,3,3,1,EMP0107,Employee_107,Finance,2025-04-17,Apr
26-35,Male,3,5,3,1,2,4,5,3,3,4,4,3,1,EMP0108,Employee_108,Marketing,2025-04-18,Apr
36-45,Male,2,5,2,2,1,1,2,1,3,3,1,2,1,EMP0109,Employee_109,Operations,2025-04-19,Apr
26-35,Male,2,2,3,1,2,5,5,5,1,5,5,1,0,EMP0110,Employee_110,IT,2025-04-20,Apr
18-25,Male,3,5,4,4,5,5,1,2,4,2,2,5,2,EMP0111,Employee_111,Support,2025-04-21,Apr
26-35,Male,1,1,5,4,2,3,2,3,3,3,3,3,1,EMP0112,Employee_112,IT,2025-04-22,Apr
18-25,Female,2,5,3,4,4,1,5,2,5,4,2,5,2,EMP0113,Employee_113,Sales,2025-04-23,Apr
36-45,Male,2,2,1,1,1,3,5,4,2,5,4,1,1,EMP0114,Employee_114,HR,2025-04-24,Apr
18-25,Male,2,2,1,3,5,5,1,3,2,3,3,3,1,EMP0115,Employee_115,Sales,2025-04-25,Apr
26-35,Female,3,3,3,5,2,4,3,3,3,2,3,3,1,EMP0116,Employee_116,Support,2025-04-26,Apr
26-35,Female,4,4,2,1,2,1,5,3,2,5,3,2,1,EMP0117,Employee_117,Sales,2025-04-27,Apr
26-35,Male,2,5,3,2,1,5,2,3,4,4,3,3,1,EMP0118,Employee_118,Operations,2025-04-28,Apr
18-25,Female,5,3,3,1,4,5,5,4,2,5,5,2,1,EMP0119,Employee_119,Operations,2025-04-29,Apr
46+,Prefer not to say,3,3,2,4,2,2,4,3,3,2,3,4,2,EMP0120,Employee_120,Support,2025-04-30,Apr
36-45,Male,5,2,4,3,5,2,3,3,4,2,2,2,2,EMP0121,Employee_121,Support,2025-05-01,May
18-25,Male,2,3,5,4,1,1,4,3,5,3,2,4,1,EMP0122,Employee_122,Operations,2025-05-02,May
18-25,Female,5,3,4,3,4,3,2,3,4,2,2,4,2,EMP0123,Employee_123,Sales,2025-05-03,May
26-35,Male,2,3,5,2,4,3,3,3,4,4,3,3,1,EMP0124,Employee_124,Marketing,2025-05-04,May
36-45,Male,1,5,3,1,4,1,4,2,3,4,2,2,1,EMP0125,Employee_125,Support,2025-05-05,May
46+,Male,3,2,4,1,2,1,4,3,3,4,3,3,1,EMP0126,Employee_126,Support,2025-05-06,May
18-25,Prefer not to say,5,3,4,4,1,3,3,3,2,3,3,3,1,EMP0127,Employee_127,Operations,2025-05-07,May
26-35,Male,3,2,5,3,3,3,2,3,2,4,3,2,1,EMP0128,Employee_128,Operations,2025-05-08,May
36-45,Male,1,2,1,1,5,2,5,4,2,5,4,1,0,EMP0129,Employee_129,Marketing,2025-05-09,May
26-35,Male,5,4,2,4,4,2,2,2,4,2,2,4,2,EMP0130,Employee_130,Finance,2025-05-10,May
26-35,Male,3,2,2,3,1,1,4,3,3,3,3,3,1,EMP0131,Employee_131,Marketing,2025-05-11,May
18-25,Female,3,5,2,5,3,5,3,3,2,2,4,4,2,EMP0132,Employee_132,Sales,2025-05-12,May
26-35,Male,3,5,4,4,3,3,1,2,4,3,2,4,1,EMP0133,Employee_133,Marketing,2025-05-13,May
36-45,Female,4,5,2,1,5,4,3,3,4,4,3,3,2,EMP0134,Employee_134,Marketing,2025-05-14,May
46+,Female,1,4,5,5,2,3,1,2,4,3,2,3,2,EMP0135,Employee_135,Marketing,2025-05-15,May
18-25,Male,2,4,3,3,3,4,1,2,2,5,2,3,1,EMP0136,Employee_136,HR,2025-05-16,May
26-35,Female,3,3,1,2,4,5,2,3,1,4,4,2,1,EMP0137,Employee_137,Operations,2025-05-17,May
18-25,Male,2,4,5,2,2,4,4,3,3,4,4,2,0,EMP0138,Employee_138,Support,2025-05-18,May
26-35,Male,5,5,2,5,5,2,5,3,4,1,3,5,2,EMP0139,Employee_139,Marketing,2025-05-19,May
26-35,Female,2,3,4,3,2,3,1,2,3,4,2,3,2,EMP0140,Employee_140,IT,2025-05-20,May
18-25,Female,3,1,3,4,5,4,1,3,3,3,3,3,2,EMP0141,Employee_141,IT,2025-05-21,May
18-25,Male,5,5,3,5,1,4,5,3,3,2,4,4,1,EMP0142,Employee_142,Support,2025-05-22,May
36-45,Male,3,1,4,1,2,1,4,3,1,5,3,1,0,EMP0143,Employee_143,Finance,2025-05-23,May
26-35,Female,5,3,1,2,4,3,5,4,2,5,4,3,1,EMP0144,Employee_144,IT,2025-05-24,May
26-35,Female,4,4,3,1,1,5,3,3,2,5,4,2,1,EMP0145,Employee_145,Marketing,2025-05-25,May
36-45,Female,3,3,1,2,1,3,2,3,3,5,3,3,1,EMP0146,Employee_146,Support,2025-05-26,May
26-35,Male,2,2,4,2,4,3,4,4,3,3,4,3,1,EMP0147,Employee_147,Marketing,2025-05-27,May
18-25,Male,5,4,1,2,2,2,4,3,2,5,3,2,1,EMP0148,Employee_148,IT,2025-05-28,May
26-35,Female,2,1,2,2,2,2,4,4,2,4,4,1,1,EMP0149,Employee_149,Operations,2025-05-29,May
36-45,Male,3,2,5,4,4,3,2,3,3,2,3,2,1,EMP0150,Employee_150,Finance,2025-05-30,May
18-25,Male,2,1,3,1,5,3,4,4,2,5,4,2,1,EMP0151,Employee_151,Operations,2025-05-31,May
36-45,Male,3,5,4,5,2,2,4,2,5,1,2,5,2,EMP0152,Employee_152,IT,2025-06-01,Jun
18-25,Male,1,4,1,5,3,4,2,3,2,2,3,3,1,EMP0153,Employee_153,HR,2025-06-02,Jun
18-25,Male,1,2,5,3,1,4,2,3,2,4,3,1,1,EMP0154,Employee_154,Sales,2025-06-03,Jun
26-35,Female,4,2,4,3,5,5,1,3,3,4,3,3,1,EMP0155,Employee_155,IT,2025-06-04,Jun
18-25,Female,1,2,1,4,1,4,3,4,2,3,4,3,1,EMP0156,Employee_156,Finance,2025-06-05,Jun
26-35,Female,1,5,5,4,1,3,5,3,4,1,4,4,2,EMP0157,Employee_157,Finance,2025-06-06,Jun
36-45,Female,3,1,5,1,2,5,1,4,3,5,3,3,1,EMP0158,Employee_158,Finance,2025-06-07,Jun
26-35,Male,3,5,4,4,1,1,4,2,5,3,2,4,2,EMP0159,Employee_159,Operations,2025-06-08,Jun
26-35,Male,3,1,5,2,1,1,1,2,3,4,1,3,1,EMP0160,Employee_160,HR,2025-06-09,Jun
26-35,Male,3,4,1,1,5,1,5,3,3,5,3,2,1,EMP0161,Employee_161,Operations,2025-06-10,Jun
36-45,Prefer not to say,2,4,2,1,5,3,1,2,3,5,2,3,1,EMP0162,Employee_162,Operations,2025-06-11,Jun
26-35,Male,2,2,4,5,4,4,1,3,4,1,2,4,2,EMP0163,Employee_163,HR,2025-06-12,Jun
18-25,Female,5,3,4,2,2,2,4,3,2,4,3,2,1,EMP0164,Employee_164,Marketing,2025-06-13,Jun
26-35,Male,4,3,2,5,1,3,3,3,4,1,3,4,2,EMP0165,Employee_165,HR,2025-06-14,Jun
36-45,Male,3,1,3,5,4,3,4,4,3,1,4,3,1,EMP0166,Employee_166,IT,2025-06-15,Jun
18-25,Male,5,2,3,2,4,1,5,3,2,4,3,3,1,EMP0167,Employee_167,IT,2025-06-16,Jun
36-45,Male,4,3,4,3,1,2,2,2,5,2,1,4,2,EMP0168,Employee_168,Marketing,2025-06-17,Jun
36-45,Male,3,4,4,5,2,1,1,1,5,1,1,4,2,EMP0169,Employee_169,IT,2025-06-18,Jun
26-35,Male,3,1,3,2,2,1,4,3,2,4,3,2,1,EMP0170,Employee_170,IT,2025-06-19,Jun
36-45,Female,2,1,4,3,2,4,2,4,2,2,4,2,1,EMP0171,Employee_171,Operations,2025-06-20,Jun
18-25,Male,1,5,1,4,4,5,2,3,5,2,3,4,2,EMP0172,Employee_172,Finance,2025-06-21,Jun
36-45,Female,5,2,1,2,5,4,1,3,3,3,3,3,2,EMP0173,Employee_173,IT,2025-06-22,Jun
36-45,Female,5,1,2,3,5,3,1,3,2,4,2,3,1,EMP0174,Employee_174,Sales,2025-06-23,Jun
36-45,Female,1,3,3,4,5,3,5,4,4,3,4,4,1,EMP0175,Employee_175,HR,2025-06-24,Jun
18-25,Prefer not to say,2,1,5,2,5,4,1,3,4,3,2,3,1,EMP0176,Employee_176,Sales,2025-06-25,Jun
18-25,Female,2,3,4,2,5,2,1,2,3,2,1,3,1,EMP0177,Employee_177,Operations,2025-06-26,Jun
18-25,Male,4,2,2,2,4,4,1,3,2,4,3,2,1,EMP0178,Employee_178,Marketing,2025-06-27,Jun
26-35,Male,1,1,4,5,1,5,5,5,3,2,5,3,1,EMP0179,Employee_179,Support,2025-06-28,Jun
26-35,Prefer not to say,5,4,2,1,2,1,3,2,2,4,2,3,1,EMP0180,Employee_180,Support,2025-06-29,Jun
26-35,Female,3,4,3,4,2,2,5,3,4,2,3,4,2,EMP0181,Employee_181,Support,2025-06-30,Jun
18-25,Male,2,3,2,5,1,1,4,3,3,2,3,3,1,EMP0182,Employee_182,Sales,2025-07-01,Jul
18-25,Male,2,4,1,2,5,2,2,2,3,4,2,4,2,EMP0183,Employee_183,Sales,2025-07-02,Jul
36-45,Male,4,4,3,2,2,3,4,3,2,4,4,3,1,EMP0184,Employee_184,Sales,2025-07-03,Jul
26-35,Female,4,2,4,4,1,3,5,4,4,2,4,4,1,EMP0185,Employee_185,Sales,2025-07-04,Jul
36-45,Prefer not to say,5,5,5,5,5,4,2,2,5,1,2,5,2,EMP0186,Employee_186,Finance,2025-07-05,Jul
18-25,Female,1,2,2,5,1,5,5,5,3,3,5,3,1,EMP0187,Employee_187,Finance,2025-07-06,Jul
26-35,Male,1,3,1,3,5,1,2,2,3,4,1,3,2,EMP0188,Employee_188,Sales,2025-07-07,Jul
36-45,Male,2,2,5,1,1,3,2,3,1,4,3,3,1,EMP0189,Employee_189,Sales,2025-07-08,Jul
26-35,Female,1,2,1,4,3,1,3,3,4,3,2,3,1,EMP0190,Employee_190,Marketing,2025-07-09,Jul
18-25,Male,2,1,4,4,2,2,1,3,3,3,2,3,2,EMP0191,Employee_191,Finance,2025-07-10,Jul
26-35,Male,2,2,2,2,4,5,1,3,1,4,3,3,1,EMP0192,Employee_192,IT,2025-07-11,Jul
26-35,Female,2,2,3,1,1,5,3,4,1,5,5,2,1,EMP0193,Employee_193,Operations,2025-07-12,Jul
26-35,Female,4,5,1,1,2,4,2,2,3,5,3,3,1,EMP0194,Employee_194,HR,2025-07-13,Jul
18-25,Male,2,5,1,2,1,3,4,3,2,4,4,3,0,EMP0195,Employee_195,IT,2025-07-14,Jul
26-35,Male,4,1,3,4,1,2,4,4,1,3,4,2,1,EMP0196,Employee_196,IT,2025-07-15,Jul
18-25,Female,3,2,3,5,2,5,4,4,2,2,5,3,1,EMP0197,Employee_197,Finance,2025-07-16,Jul
26-35,Male,2,1,3,3,1,2,1,3,2,3,2,2,1,EMP0198,Employee_198,Finance,2025-07-17,Jul
26-35,Female,5,5,5,2,1,5,4,3,4,4,4,4,2,EMP0199,Employee_199,IT,2025-07-18,Jul
18-25,Male,2,1,1,5,1,5,2,4,3,2,4,4,2,EMP0200,Employee_200,Marketing,2025-07-19,Jul
26-35,Male,2,5,3,2,5,5,2,3,4,4,3,3,1,EMP0201,Employee_201,Sales,2025-07-20,Jul
18-25,Female,1,4,3,5,4,2,5,3,5,2,3,4,2,EMP0202,Employee_202,Sales,2025-07-21,Jul
26-35,Male,2,1,2,3,3,2,1,3,3,4,2,3,1,EMP0203,Employee_203,Sales,2025-07-22,Jul
46+,Male,3,2,1,5,5,3,4,4,4,2,4,4,2,EMP0204,Employee_204,Marketing,2025-07-23,Jul
36-45,Male,4,1,3,2,3,1,1,2,3,3,1,3,2,EMP0205,Employee_205,IT,2025-07-24,Jul
26-35,Male,5,4,4,2,5,3,4,3,4,3,3,3,1,EMP0206,Employee_206,HR,2025-07-25,Jul
18-25,Male,4,3,5,2,4,3,5,4,3,4,4,2,1,EMP0207,Employee_207,Sales,2025-07-26,Jul
26-35,Female,1,1,5,2,5,3,2,3,2,4,3,3,1,EMP0208,Employee_208,Support,2025-07-27,Jul
26-35,Male,5,5,1,2,5,3,3,2,2,4,3,3,1,EMP0209,Employee_209,Support,2025-07-28,Jul
18-25,Female,4,1,4,5,2,1,4,3,3,2,3,4,2,EMP0210,Employee_210,HR,2025-07-29,Jul
36-45,Male,2,5,1,4,1,5,2,3,2,2,4,4,1,EMP0211,Employee_211,IT,2025-07-30,Jul
26-35,Male,5,5,2,1,1,4,2,2,1,3,3,2,1,EMP0212,Employee_212,Sales,2025-07-31,Jul
26-35,Female,1,5,1,1,5,2,4,2,2,5,3,2,1,EMP0213,Employee_213,IT,2025-08-01,Aug
36-45,Female,1,1,3,4,1,1,3,3,1,3,3,3,1,EMP0214,Employee_214,IT,2025-08-02,Aug
26-35,Female,4,5,5,1,2,4,2,2,3,5,3,3,1,EMP0215,Employee_215,Sales,2025-08-03,Aug
26-35,Male,3,2,2,3,1,4,4,4,2,3,4,2,1,EMP0216,Employee_216,Support,2025-08-04,Aug
18-25,Male,3,3,5,1,1,2,3,3,2,5,3,2,1,EMP0217,Employee_217,Marketing,2025-08-05,Aug
18-25,Male,5,5,3,2,2,2,5,3,3,2,3,3,1,EMP0218,Employee_218,Marketing,2025-08-06,Aug
36-45,Female,1,3,1,2,2,3,5,4,1,4,5,3,1,EMP0219,Employee_219,Finance,2025-08-07,Aug
18-25,Male,1,5,1,4,2,1,3,2,4,4,2,4,2,EMP0220,Employee_220,Marketing,2025-08-08,Aug
26-35,Male,1,3,2,4,4,3,2,3,4,3,2,5,2,EMP0221,Employee_221,Operations,2025-08-09,Aug
46+,Male,4,3,2,1,2,2,1,2,2,4,2,1,1,EMP0222,Employee_222,IT,2025-08-10,Aug
18-25,Male,1,1,1,2,3,3,4,4,2,5,4,1,1,EMP0223,Employee_223,IT,2025-08-11,Aug
36-45,Male,2,2,3,5,1,1,5,3,4,1,3,3,1,EMP0224,Employee_224,HR,2025-08-12,Aug
36-45,Male,5,3,2,2,3,4,1,3,2,3,3,3,1,EMP0225,Employee_225,Sales,2025-08-13,Aug
18-25,Male,2,5,4,3,4,1,5,2,4,2,2,4,1,EMP0226,Employee_226,Marketing,2025-08-14,Aug
26-35,Male,4,3,1,1,1,3,5,4,1,5,5,2,1,EMP0227,Employee_227,IT,2025-08-15,Aug
26-35,Male,1,1,5,4,5,3,2,3,4,1,2,4,2,EMP0228,Employee_228,HR,2025-08-16,Aug
18-25,Male,2,3,3,2,5,2,3,3,2,4,3,2,1,EMP0229,Employee_229,Finance,2025-08-17,Aug
